SampleID	Ct	Bacterial DNA (pg)	Num_Bacteria
100142	31.907	10.32016466	2064.03
100148	37.083	0.747091212	149.42
100151	34.663	2.549961306	509.99
100180	33.311	5.062960959	1012.59
100368	38.804	0.311994687	62.4
100374	37.39	0.639176579	127.84
100390	31.132	15.29423204	3058.85
100426	38.66	0.335540532	67.11
101650	32.701	6.899858299	1379.97
100145	33.389	4.867126671	973.43
100157	NA	NA	1
100163	34.895	2.267209503	453.44
100183	38.939	0.291283672	58.26
100186	34.557	2.690245605	538.05
100399	35.785	1.44325797	288.65
101739	35.808	1.4260631	285.21
101141	33.767	4.017294088	803.46
101525	31.568	12.25850229	2451.7
100160	32.185	8.965667601	1793.13
100166	31.675	11.60812788	2321.63
100174	NA	NA	1
100192	NA	NA	1
100356	28.491	58.39167813	11678.34
100396	32.378	8.127650811	1625.53
101692	33.485	4.634455662	926.89
101509	34.933	2.223594269	444.72
100169	33.987	3.593581504	718.72
100177	NA	NA	1
100195	9.861	743479.4544	1
100371	37.687	0.549966997	109.99
101573	34.348	2.991536072	598.31
101477	30.258	23.83185609	4766.37
101778	32.856	6.37702821	1275.41
100154	32.78	6.629392654	1325.88
100365	33.4	4.840036588	968.01
100383	33.316	5.050287823	1010.06
101764	33.255	5.207625558	1041.53
